t,H,observed_EL,theory_EL
1.77,512,1.2058484691780154,1.1765844576071345
1.785,512,1.09281953998399,1.0657484720160113
1.7999999999999998,512,0.9894849539030145,0.9644840951722671
1.815,512,0.8951294699121346,0.8720780295477368
1.8299999999999998,512,0.8090763009269095,0.7878560235565573
1.845,512,0.7306867509806907,0.7111824355015415
1.8599999999999999,512,0.6593596331360734,0.6414595782601396
1.875,512,0.5945304925202441,0.5781268702589983
1.89,512,0.5356706592460869,0.5206598185404943
1.905,512,0.48228615589088963,0.4685688594945816
1.92,512,0.4339164837008077,0.4213980821778591
1.9349999999999998,512,0.3901333108250791,0.37872385811850506
1.95,512,0.3505390847169886,0.3401534001877593
1.9649999999999999,512,0.31476558942804844,0.3053232715536893
1.98,512,0.28247246692668804,0.2738978640039704
1.9949999999999999,512,0.2533457198491419,0.2455678630691125
2.01,512,0.22709621129082205,0.22004871547345317
2.025,512,0.20345817541827105,0.1970791125158371
2.04,512,0.1821877508665023,0.17641950109307913
2.0549999999999997,512,0.16306154711906362,0.1578506322525044
2.07,512,0.14587525237735538,0.14117215542684391
2.085,512,0.13044228983402453,0.1262012648847417
2.1,512,0.11659252778924246,0.11277140344191139
2.1149999999999998,512,0.10417104769948457,0.1007310271218671
2.13,512,0.09303697303244333,0.08994243325091134
2.145,512,0.08306236072114417,0.08028065340050716
2.16,512,0.07413115606382917,0.07163241166881562
2.175,512,0.06613821109969217,0.06389514799612073
2.19,512,0.058988365797732895,0.05697610554898347
2.205,512,0.05259559081890633,0.05079148065428285
2.2199999999999998,512,0.046882190141354196,0.04526563332808564
2.235,512,0.04177806146506032,0.040330356097925346
2.25,512,0.037220012025798804,0.03592419855930018
2.265,512,0.033151127238706994,0.03199184492495988
2.28,512,0.029520189449523334,0.028483541708823168
2.295,512,0.026281143987150084,0.025354572624422644
2.31,512,0.023392609676038255,0.022564777763719235
2.3249999999999997,512,0.020817430972916124,0.020078114148418535
2.34,512,0.018522268932248006,0.017862254799382526
2.355,512,0.016477228271942097,0.015888223555478476
2.37,512,0.01465551789941284,0.014130062969798018
2.385,512,0.013033142362982347,0.012564532730934275
2.4,512,0.011588621810375808,0.011170836180085075
2.415,512,0.010302738160914164,0.009930372627181328
2.4299999999999997,512,0.009158305327727823,0.008826513307354844
2.445,512,0.008139961458224708,0.007844398951647236
2.46,512,0.007233981292962915,0.00697075708740158
2.475,512,0.0064281068732055975,0.006193737309075686
2.4899999999999998,512,0.005711394954385059,0.005502762898373703
2.505,512,0.005074079605391305,0.004888397287942325
2.52,512,0.004507448591210994,0.004342223987634952
2.5349999999999997,512,0.004003732248419071,0.003856738702182838
2.55,512,0.0035560036689773005,0.0034252524746989366
2.565,512,0.003158089107519951,0.0030418047910103496
2.58,512,0.002804487620721065,0.0027010856735643074
2.5949999999999998,512,0.002490299034470095,0.002398365876629782
2.61,512,0.0022111594155422923,0.002129434379696704
2.625,512,0.001963183299416516,0.0018905424455226694
2.6399999999999997,512,0.0017429119950956944,0.0016783535805870997
2.655,512,0.0015472673514724158,0.0014898987974021338
2.67,512,0.0013735104282600582,0.0013225366341913514
2.685,512,0.001219204568055594,0.0011739174442340072
2.6999999999999997,512,0.001082182415039403,0.0010419515093929022
2.715,512,0.0009605164704456044,0.0009247805811725129
2.73,512,0.0008524928155599705,0.0008207524894316975
2.745,512,0.0007565876699217725,0.0007283984963208923
2.76,512,0.0006714464858976674,0.00064641310446234
2.775,512,0.0005958653111398549,0.0005736360601389379
2.79,512,0.0005287741778916613,0.0005090363160320521
2.8049999999999997,512,0.00046922230290797446,0.00045169774537612284
2.82,512,0.0004163649041422226,0.0004008064186677984
2.835,512,0.00036945146053185226,0.0003556392747299242
2.85,512,0.00032781525938712264,0.00031555403668903637
2.8649999999999998,512,0.0002908640922389123,0.0002799802362005721
2.88,512,0.00025807197469841016,0.00024841122743168853
2.895,512,0.00022897177908284282,0.0002203970818044354
2.9099999999999997,512,0.00020314868040795359,0.00019553826882656722
2.925,512,0.00018023432697318847,0.00017348003457584582
2.94,512,0.0001599016562868079,0.00015390740503562483
2.955,512,0.00014186028560650164,0.00013654074210478484
2.9699999999999998,512,0.00012585241400396298,0.00012113179423067777
2.985,512,0.00011164917969150472,0.00010746018539009583
3.0,512,9.904742245368494e-05,9.533029530928161e-05
0.0,256,125.47720914888805,125.4656
0.015,256,125.3261369488028,125.31382996872689
0.03,256,125.16632790200208,125.15328242209505
0.045,256,124.99731445095952,124.98348759041573
0.06,256,124.8186085711908,124.80395513617661
0.075,256,124.62970143263092,124.6141738132604
0.09,256,124.43006313191195,124.413611197358
0.105,256,124.21914250721929,124.20171349930965
0.12,256,123.99636704837073,123.97790547408037
0.135,256,123.7611429157273,123.74159043904493
0.15,256,123.51285508248847,123.49215041620835
0.16499999999999998,256,123.25086761582878,123.22894641389694
0.18,256,122.97452411317107,122.95131886429866
0.195,256,122.68314831063554,122.6585882339814
0.21,256,122.37604488132249,122.35005582514034
0.22499999999999998,256,122.05250044154005,122.02500478578386
0.24,256,121.71178478333968,121.68270134732109
0.255,256,121.35315235172231,121.32239630801766
0.27,256,120.97584398458382,120.94332678049132
0.285,256,120.57908893282558,120.54471822077545
0.3,256,120.16210717701377,120.1257867554331
0.315,256,119.72411205547715,119.68574182170423
0.32999999999999996,256,119.2643132167361,119.22378913366273
0.345,256,118.78191990660645,118.73913398479898
0.36,256,118.27614459718004,118.23098489428584
0.375,256,117.74620696111296,117.69855760039565
